Name	ORIG_FID	Latitude	Longitude
Sehra Tola	40136	23.47898863	80.98327299
Sahajanara	40137	23.47001163	80.69819868
Semrahan Khurd	40138	24.87511138	81.02907686
Mahroi	40139	23.4809762	80.83578875
Karimati	40140	23.48451739	80.80723803
Pidra	40141	23.48246509	80.60755875
Tikura Pathari	40142	23.4769917	80.64480349
Atariya	40143	23.47590709	80.75425556
Munda	40144	23.45543907	80.88598916
Karua	40145	23.47625719	80.61807277
Kirantal Khurd	40146	23.47934135	80.85924626
Karkeli	40147	23.46218516	80.90884844
Majmani Kalan	40148	23.46297685	80.79565998
Ujan	40149	23.45446058	80.93660544
Alhai	40150	24.86668899	81.02506699
Amari	40151	23.4665503	80.80747454
Khaira	40153	23.46627799	80.82156677
Magardhara	40154	23.46168103	80.77740303
Padariya	40155	23.46498918	80.7303315
Singhpamar	40156	23.43677319	80.89110362
Baskuta	40157	23.4526496	81.02650498
Amanhudi	40158	23.45812471	80.84097751
Pathari	40159	23.4527405	80.97615815
Akmaniha	40160	23.43666988	80.99940498
Dongargawan	40162	23.44713157	80.76212724
Bichua	40163	23.45934442	80.75054707
Umarpani	40164	23.44697356	80.86693799
Tamannara	40165	23.44548895	80.73715777
Amaha	40167	23.42849379	80.73384455
Jamuniha	40168	23.44284424	80.69826973
Gijjri	40170	23.44623148	80.80754539
Dulhari	40171	23.44869416	80.82336434
Rojhin	40172	23.44093602	80.65536069
Lalpur	40173	23.4377791	80.71781725
Majmani Khurd	40174	23.43238996	80.78335072
Barhi	40176	23.43148595	80.91591569
Gilothar	40178	23.43112747	80.67240223
Junmani	40179	23.4288192	80.81247084
Silaundi	40180	23.4303031	80.87589104
Mardari	40181	23.42999351	80.83663989
Tenduha	40182	23.429604	80.96273418
Kohka	40184	23.42516509	80.75724641
Dondgawan	40185	23.41884632	81.00545235
Dhanhari	40186	23.42277656	80.70342942
Singawada	40187	23.41425129	80.9404122
Uchehara	40190	23.41446446	80.96986498
Silpari	40191	23.41177132	80.68311681
Guda	40193	23.41844349	80.74180052
Majhgawan	40194	23.4192156	80.88547924
Nipaniya	40195	23.40734058	80.98794618
Raghopur	40196	23.40800599	80.87878998
Kudra	40197	23.416991	80.69326897
Birhuliya	40198	23.41367724	80.79177498
Nipaniya	40200	23.41862032	80.72441431
Mardar	40201	23.40866483	80.75881798
Jhiriya	40202	24.86228669	80.99247982
Sahijana	40203	23.4081372	80.90798426
Karoundi	40204	23.40216381	80.79085242
Dhanwar	40206	23.39591439	80.91571789
Chiruhala	40207	23.39908973	80.84233948
Bardiya Khurd	40208	24.84366011	81.00832457
Budhan Rampur	40209	23.39156881	80.82578658
Arnuwari	40210	23.40108766	80.72873249
Bhundi	40212	23.39521706	80.87423248
Pathari Kalan	40213	23.38697911	80.76937584
Dewgawa Khurd	40214	23.39063393	80.99420948
Gijari	40216	23.38908336	81.01500666
Baja Kund	40218	23.39081801	80.74973855
Kaudiya	40219	23.38395699	80.85990295
Karaunda	40222	23.39137179	80.70545041
Sastra	40223	23.38509799	80.96977495
Tummadar	40225	23.3830208	80.72229369
Badagaon	40227	23.37875302	80.94329102
Bijaura	40229	23.38171498	80.88607023
Jarha	40230	23.37030877	80.81945029
Surajpura	40231	23.37227379	80.74118608
Gopal Pur	40232	23.37102437	80.79512173
Jhikatal	40234	23.37655558	80.92383875
Hadha	40237	23.37358368	80.90118761
Katariya	40241	23.36855411	80.76575968
Masurpani	40242	23.3651725	80.9092482
Narwar	40243	23.35857677	80.84913293
Mahuri	40244	23.36793937	80.87427757
Dewdandi	40246	23.35358531	80.87852798
Bahirde	40247	23.36222844	80.93656402
Dewari	40248	23.35710508	80.89323764
Mohagwan	40250	23.36038671	80.92049735
Sarai Tola	40251	23.35744493	80.74165168
Pipradi	40252	23.35077998	80.94084692
Pahariguda	40253	23.5607834	80.64172488
Dhari	40254	23.55824534	80.67093686
Tikariya	40255	23.53281708	80.81430038
Kripahan	40256	23.51750164	80.67567012
Saristal	40257	23.51393346	80.62026313
Badoramana	40258	23.50004659	80.63707543
Kripahan	40259	23.4984337	80.7781777
Amaha	40260	23.50656321	80.69742499
Chhulha	40261	23.49634707	80.60368233
Baheraha	40262	23.4815825	80.77979683
Bhaisadadar	40263	23.46577509	80.8621944
Kusiyara	40264	23.46181117	80.62868024
Thadhi	40265	23.45858851	80.6625832
Bhamarda	40266	23.45683332	80.64054615
Dholbaja	40267	23.450943	80.67729307
Kathai	40268	23.45075651	80.62425426
Karimati	40269	23.42016986	80.85254589
Khutesar	40272	23.41220935	80.81665863
Uchehara	40273	23.40767374	80.70501209
Chitauha	40274	23.39824491	80.96446998
Dhonda Pondi	40275	23.39389631	80.94160184
Bakeli	40276	23.79790965	80.92241815
Barmani	40277	23.7909117	80.87123362
Midara	40278	23.79932923	80.61364269
Bamera	40279	23.78935597	80.97666311
Nadawan	40280	23.79034891	80.72797353
Godhan Kap	40281	23.79562746	80.71703999
Sejahri	40282	24.83707039	80.85153669
Ganeshpur	40283	23.79552783	80.66123249
Loharwara	40284	23.7957841	80.69987604
Tali Rohaniya	40285	23.79267384	80.76769111
Salaiya Sihora	40286	23.7755548	80.79030998
Ladhar	40287	23.78219476	80.69200794
Mohni	40288	23.78389351	80.74383475
Keolari	40289	23.78862092	80.83501876
Behdi Khurd	40290	23.78967628	80.6225524
Sandhi	40291	23.77861778	80.67103141
Salaiya	40292	23.78095224	80.71167554
Behdi Kalan	40293	23.78263351	80.63226082
Badwahi	40294	23.77423863	80.95768622
Bandari	40295	23.77288761	80.60675291
Gabdi Nipaniya	40296	23.77776599	80.90521654
Rohaniya	40297	23.7706951	80.63556694
Bamhori	40298	23.76765856	80.65426238
Bagaiha	40299	23.76195775	80.93502761
Barela	40300	23.76596303	80.82571998
Deori	40301	23.76461158	80.68901816
Harrwah	40302	23.75338762	80.88499423
Bamhani	40303	23.750832	80.62227474
Imaliya	40304	23.76183989	80.70614499
Sutari	40305	23.75896684	80.73321469
Dobha	40306	23.75310577	80.98890005
Jaguwa	40307	23.74051005	80.86285498
Karela	40308	23.74646727	80.84057467
Salkhaniya	40309	23.75354879	80.90921549
Banjar Barela	40310	23.75425447	80.82201702
Khairbhar	40311	23.74778446	80.71934891
Guruwahi	40312	23.74807146	81.0266964
Sarai	40313	23.75110692	80.6420412
Guda Kalan	40314	23.75188649	80.66750282
Hadarhata	40315	23.73532085	80.81375209
Garhpuri	40316	23.71987513	80.94753269
Lakha Khera	40317	23.74207123	80.59784934
Salaiya	40318	23.74616785	80.68810524
Baran Mahgawan	40319	23.72978403	80.77998324
Kharahta	40320	23.74266438	80.70291218
Bargawan	40321	23.73776355	80.62280619
Badagaon	40322	23.73688482	80.75001523
Uchehara	40323	23.76759949	81.00645557
Guda Khurd	40324	23.74061879	80.665228
Bhalwara	40325	23.73348259	80.64337344
Ranchha	40326	23.72668798	80.99439498
Bilayat Khurd	40327	23.72766943	80.67966327
Barhata	40328	23.72766025	80.70256876
Saray	40329	24.83793935	80.90012963
Tala	40330	23.71931146	81.01714493
Hardua	40331	23.72722224	80.7250121
Bamhori	40332	23.72127811	80.85462842
Badwara Khurd	40333	23.72566385	80.59091573
Bajarwara	40334	23.72357128	80.60960313
Dhanwara	40335	23.71930577	80.63188263
Khitauli	40336	23.71162135	80.82994463
Lohkhan	40337	23.71688249	80.61929259
Koylari	40338	23.71035135	80.73714499
Bilayat Kalan	40339	23.71696393	80.66074074
Tenduha	40340	23.71547845	80.71531943
Salaiya	40341	23.70630461	80.60021318
Jogiya	40342	23.70584192	80.69216733
Manni	40343	23.70738847	80.70798259
Thuthiya	40344	23.70037169	80.62637651
Karchulha	40345	23.70505107	80.78852007
Ramgada	40346	23.70684429	80.65364274
Tala	40347	23.69618453	80.74531652
Kherwa	40348	23.70424461	80.72164439
Midara	40349	23.69227928	80.81340308
Mairee	40350	23.68559292	80.92879303
Tikariya	40351	23.69769192	80.65078953
Patharahta	40352	23.69139198	80.71956374
Midaki	40353	23.68589396	80.84194539
Bagdara	40354	23.68630602	80.87332232
Amradand	40355	23.68725445	80.60104089
Pathwari	40356	23.69070844	80.66539444
Semdari	40357	23.68901799	80.69305819
Karhiya	40358	23.68478721	80.67903413
Bijauri	40359	23.68456616	80.65147676
Mahaman	40360	23.6729482	80.97713712
Kodo	40361	23.68260909	80.63035975
Bagdari	40362	23.68215145	80.89870454
Ahar	40363	23.63847164	80.61062711
Rampur	40364	23.67671007	80.74169545
Jhanpi	40365	23.67697688	80.61129649
Chhaparwah Khurd	40366	23.68013486	80.70463018
Karanpura	40367	23.68231555	80.72192462
Pati	40368	23.6763017	80.64637104
Bartarai	40369	23.65435626	80.88733498
Jharela	40370	23.66798015	80.6637598
Pipariya	40371	23.67718329	80.71531829
Dewra Kalan	40372	23.67027194	80.68984076
Kamta	40373	23.65690237	80.89508588
Bhanpura	40374	23.66468051	80.63846079
Amatola	40375	23.66990188	80.62710508
Chandia	40376	23.63849606	80.70391999
Chhain	40377	23.64568381	80.90505272
Umariya Alis Kachniya Tola	40378	23.65270726	80.85661244
Tenduha	40379	23.58142343	80.86014058
Kachhari	40380	23.66117579	80.61246142
Parasi	40381	23.65793394	80.93173205
Banka	40382	23.66159082	80.75008902
Sunari	40383	23.66489889	80.64808832
Raghopur	40384	23.64884164	80.79018969
Mada Tola	40385	23.5820131	80.63674479
Gohadi	40386	23.64698957	80.98580448
Lamkana	40387	23.65393894	80.60429884
Barhi Chhot	40388	23.65330008	80.74734203
Mardari	40389	23.64325544	80.95803413
Dhaur Khoh	40390	23.64268031	80.75737663
Thaguwa	40391	23.64815758	80.63193841
Majhgawan	40393	23.6362914	80.66179063
Tali	40394	23.6290596	80.81886513
Bhudsa	40395	23.63569606	80.63489986
Dhamokhar	40396	23.62980749	80.93816748
Pansokhar	40398	23.63150924	80.59971931
Jhamaiya	40399	23.62711611	80.84532298
Badwar	40400	23.61164166	80.73621589
Salaiya	40401	23.61825871	80.78851298
Bamhangawan	40402	23.62655745	80.68327589
Padeniya	40403	24.82519427	81.01120227
Parsel	40404	23.61593764	80.61704187
Dadraudi	40405	23.62219232	80.86800748
Madwa	40406	23.61254574	80.66980818
Bansa	40407	23.6098074	80.64364914
Chapar	40408	23.60979093	80.92992384
Luharwara	40409	23.61060936	80.58897499
Khaira	40410	23.61030971	80.91195491
Kodar	40411	23.6166551	80.88463918
Majhgawan	40412	23.60726311	80.85737205
Dubbar	40413	23.60621135	80.75843783
Kherwa Khurd	40414	23.60391454	80.84394104
Magdhi	40415	23.58559276	81.01755147
Kherwa Kalan	40416	23.60493711	80.83115418
Bardauha	40417	23.60495068	80.88327223
Anchla	40418	23.59925144	80.80648509
Kotalwah	40419	23.5998149	80.90165814
Didaori	40420	23.58975067	80.77874106
Pathari	40421	23.59938166	80.96389207
Salaiya	40422	23.59698454	80.66753663
Kudra	40423	23.58839358	80.58627942
Ghaghdar	40424	23.59146836	80.93000718
Pali	40425	23.58577025	80.75191409
Saraswahi	40426	23.5942551	80.87216286
Guda	40427	23.59159972	80.63133877
Amajhal	40428	23.5939513	80.61474997
Kachharwar	40429	23.58672865	80.83423998
Shahpura	40430	24.81364332	80.69995375
Barbaspur	40431	23.58428659	80.89552378
Kolha	40432	23.58049201	80.87368521
Baherghata	40433	23.57642067	80.60906041
Pipra Tola	40434	23.57751166	80.93363358
Dhatura	40435	23.57703486	80.71215741
Chhaparwah	40436	23.64718996	80.59186121
Raj Tola	40437	23.5766553	80.62471234
Chhahar	40438	23.62516661	80.72122986
Bairagi	40439	23.74550929	80.61055789
Pipariya	40440	23.70299275	80.66812269
Pari Pathar	40441	23.58838252	80.69371993
Chakra Arjunsingh	40442	23.69954309	80.70980021
Araji Patharahta	40443	23.69618787	80.71455749
Chhulha	40444	23.6686346	80.81368598
Dewara Khurd	40445	23.65866612	80.67502963
Bathan	40446	23.65640457	81.02187226
Kudarwar	40447	23.62027071	80.97397615
Padariya	40448	23.62497777	80.76939706
Semra	40449	23.57723669	80.67408188
Upka	40450	24.8019002	80.76040229
Jhala	40451	23.70333031	80.75878065
Tekan	40452	23.69398338	80.7731735
Atariya	40453	23.68014629	80.79248324
Patrai	40454	23.67929234	80.76173618
Majhauli	40455	23.66780001	80.77578074
Deogawan	40456	23.59959489	80.68614387
Reserve Forest	40459	23.80056093	80.52827569
Reserve Forest	40460	23.76824476	80.57657973
Goraiya CT	40463	23.36826243	81.02234557
Reserve Forest	40464	23.52012563	80.96216165
Reserve Forest	40465	23.80144663	80.59487999
Reserve Forest	40466	23.76177454	80.76094281
Khatauli R F	40467	23.7126831	80.88498511
Paraswah Ryt	40608	22.82964697	81.39428457
